countryFrom,countryTo,value
FI,RO,1.110
CR,DE,1.019
BG,CA,0.382
BG,IL,1.597
CZ,EE,5.028
BE,KH,7.874
CH,NP,1.838
FI,SG,0.692
ES,ET,0.623
BF,GH,61.353
EE,PT,1.389
GR,IR,0.162
FR,NE,4.943
AR,FI,0.663
BY,IT,1.048
TR,TW,0.260
PT,SG,0.315
CG,FR,2.173
GM,KE,49.039
CO,PE,20.850
RO,RS,7.400
IE,KR,0.164
PT,TH,0.367
GR,NZ,0.655
JO,UK,0.583
BE,CU,2.813
HR,NO,1.675
BE,SN,3.584
CL,NO,0.678
AU,KH,3.203
BG,HU,3.675
LT,LV,132.029
LT,NO,3.937
IE,RO,1.760
AR,TW,0.552
HR,IN,0.305
FR,GE,0.558
EG,SE,0.318
KE,RW,61.231
BR,SI,0.459
KR,NZ,0.179
ET,KE,9.277
AU,ET,0.565
BG,SE,0.808
IR,ZA,0.196
ID,SG,5.426
BR,HK,0.346
ES,LB,1.001
NZ,PL,0.358
FI,TH,0.745
CZ,ZA,0.681
EG,KR,0.212
AU,FJ,13.415
HU,MX,0.960
IT,LV,1.624
PT,TN,1.137
FI,RS,2.314
KR,ZA,0.114
JO,SA,10.838
LV,PL,5.854
BF,ML,221.478
AE,FR,0.787
FI,SK,2.829
LT,PT,1.910
PA,UK,1.521
BG,IN,0.314
AU,LU,1.039
ID,PH,43.296
GH,UG,17.601
MA,UK,0.165
AT,SA,0.370
DK,RS,1.515
FR,ZW,1.280
IT,NG,0.158
BE,IS,2.291
CM,SN,61.000
CH,LT,1.383
CA,VE,0.781
CA,LU,0.761
BE,NP,2.806
AF,US,1.433
EE,LV,83.637
MY,SD,9.028
BG,BR,0.616
KZ,RU,5.750
EG,TR,0.636
LT,RU,1.979
AR,CZ,0.978
CA,SK,0.496
FR,GM,1.623
JP,NP,0.772
SG,ZA,0.738
US,UZ,0.317
AE,NL,1.265
GH,IN,0.483
RO,SI,3.940
PT,SK,1.284
BA,RS,56.099
UG,ZW,48.652
DE,UY,0.547
IT,UZ,1.424
BW,ZA,21.437
BE,MY,0.239
AE,EG,11.600
SG,VN,4.187
DK,LU,2.754
BO,BR,6.422
MX,MY,0.644
BG,RO,5.585
VN,ZA,2.710
CA,CU,0.790
ET,IT,0.321
AU,IS,0.926
CL,KR,0.183
GR,SG,0.574
NZ,TH,1.276
DK,VN,1.449
NO,SK,2.430
TH,UG,4.002
BF,CI,255.869
RO,SK,8.082
HR,IE,2.742
MX,UY,8.464
NA,ZA,35.922
AM,JP,0.570
CH,CY,1.817
FR,LV,1.419
TR,ZA,0.322
EG,IR,0.326
AR,KR,0.159
AR,HU,1.055
BE,CY,3.092
CN,GH,0.322
CM,KE,13.003
EG,GR,0.691
ID,SE,1.033
BG,TR,1.522
PH,TW,4.227
MY,PT,0.189
BE,EC,5.719
TH,TZ,4.418
MY,VN,2.802
AR,AT,0.401
BG,FI,1.789
CZ,RS,3.496
DO,US,1.767
BR,PA,5.492
EE,GR,2.455
SA,TW,0.415
BD,ZA,2.568
DE,JO,0.580
MG,UK,1.268
RU,SI,0.592
HU,ZA,0.673
ID,KE,10.062
CN,LU,0.438
CO,EC,54.856
HU,UA,1.485
OM,UK,0.595
HU,LT,6.849
EC,PE,98.853
NO,TW,0.234
HR,ZA,1.944
LA,UK,3.078
DE,SY,1.465
BG,DK,1.168
MX,TR,0.396
AR,CU,7.643
AE,AU,1.186
IN,TZ,0.322
BE,PK,0.398
GH,MW,42.324
IT,TZ,0.296
CL,VE,8.204
QA,SA,5.071
RU,TH,0.310
NP,SE,1.741
BE,LB,1.922
ES,UG,0.441
BD,IT,0.320
EE,SI,9.872
KE,SD,24.870
CZ,TW,0.411
ML,SN,186.659
HN,US,2.690
TR,UA,0.668
ET,FR,0.288
BR,HR,0.500
CA,ID,0.435
IN,LY,2.356
AU,SN,1.288
BR,NG,0.289
IR,PL,0.076
BE,ZM,3.273
MM,TH,69.702
NZ,TW,0.466
CH,ZW,2.559
MY,ZA,0.464
MW,UG,26.344
CG,UK,0.972
GM,NL,2.448
IN,SI,0.190
PR,UK,1.126
BD,CN,0.224
KE,ML,40.838
DZ,US,0.145
BF,CM,54.949
AT,IS,2.378
CF,FR,9.006
BD,VN,13.668
DK,IR,0.088
AO,PT,17.814
AR,TR,0.445
MX,PK,1.005
MW,TZ,28.143
ES,LV,2.223
DK,ET,1.251
HU,RS,3.533
FI,HK,0.889
CU,NL,0.956
NO,SG,0.485
EG,PT,0.299
BE,HK,0.511
IR,NZ,0.244
NO,UA,0.692
RW,UG,71.884
BG,IE,2.718
IN,UG,0.274
HR,TR,1.269
PL,TH,0.351
DK,PK,0.437
JP,TZ,0.297
IE,UA,1.270
KW,SA,9.599
AE,IT,0.708
HK,TH,1.891
AU,CM,0.696
NL,QA,0.729
CH,MZ,2.946
BE,BJ,5.269
LB,SA,5.038
RW,ZA,14.484
CL,TW,0.499
KE,MZ,35.268
SI,SK,9.543
CA,MA,0.300
AF,UK,2.789
KH,VN,70.600
NL,RW,2.937
NL,NP,1.001
AU,MZ,2.149
BE,EG,0.356
GH,JP,0.405
DK,MY,0.239
RS,TH,4.103
CH,LK,1.087
KE,NO,1.005
BH,SA,31.030
CL,NZ,1.091
KE,PK,2.453
AT,KE,0.743
DK,HK,0.559
CL,CZ,0.928
CO,PT,0.700
SI,TR,0.911
CA,RS,0.325
HR,PT,0.650
SL,US,1.523
CA,SN,0.851
LA,TH,72.152
PK,TH,1.333
NO,ZW,6.224
IL,RS,1.359
LY,UK,1.056
CL,UY,9.931
IE,MX,0.681
JP,LK,0.506
NL,VE,0.858
CA,ET,0.313
JP,MN,3.547
MX,UA,1.098
CH,CU,1.218
BW,UK,1.186
BF,ZA,6.055
PH,SG,7.917
EE,IN,0.363
AU,RS,0.444
MX,RO,1.234
RU,SG,0.241
LB,NL,0.748
IT,PH,0.659
JP,KH,1.600
ID,KR,0.599
IS,TW,2.725
NO,SA,0.386
AM,IR,1.323
LV,RU,3.751
MZ,TZ,52.483
KE,SN,18.407
KE,NZ,1.921
MX,TH,0.865
LU,PL,1.840
BE,MZ,4.666
IL,LU,2.453
SA,YE,26.998
CA,PH,0.730
AT,CO,1.007
RU,UZ,3.483
NP,TH,8.278
DZ,ES,0.964
EG,PL,0.327
NG,TZ,5.024
IE,TW,0.363
DK,LV,5.218
AR,GR,0.462
GR,LT,3.093
BR,UG,0.483
MM,US,0.965
GR,TH,0.548
LA,US,1.106
CA,NG,0.140
FI,LU,3.249
SN,ZA,5.555
DE,NP,0.365
TZ,ZM,32.063
IE,SI,1.726
EC,FR,1.218
BR,TZ,0.533
MA,PT,0.724
KE,VN,7.130
CY,PT,1.978
CM,NG,7.738
DE,MW,0.366
JP,RS,0.272
JP,MM,4.327
AU,LT,0.749
FI,LV,7.463
BO,FR,2.267
JM,UK,1.216
JP,PE,0.408
GM,ZA,10.127
HU,NZ,0.837
IE,MY,0.532
CL,IE,0.874
TT,UK,1.780
BF,SE,1.854
TT,US,0.758
KE,ZW,25.695
KR,SA,0.108
EC,MX,12.123
ES,NG,0.193
TZ,ZW,41.070
PE,TH,5.516
CO,NZ,2.601
CN,EE,0.232
LV,NL,1.850
BO,PE,155.251
IN,QA,0.437
PE,VE,32.966
IR,MX,0.175
AU,SB,21.565
IN,VE,0.532
ES,GE,0.676
CH,TN,0.594
CA,EC,1.414
CL,HU,0.958
SZ,US,1.687
NO,RS,1.464
AR,NO,0.397
AM,CA,0.479
HR,JP,0.202
BD,ID,13.563
AU,BG,0.334
AM,KR,0.730
DZ,UK,0.284
BR,MZ,2.436
PE,SE,0.971
CA,TN,0.305
NO,PK,0.493
CH,KH,2.967
RS,TR,1.367
FI,GE,2.517
EG,FI,0.534
CA,UY,0.748
IN,LU,0.498
IE,SA,0.633
MZ,SE,3.026
RU,SA,0.183
BF,BJ,148.611
IE,RS,2.686
ES,VN,0.421
PK,PL,0.306
MX,SA,0.586
PK,PT,0.253
CO,CR,38.316
DE,TN,0.157
BW,CA,2.236
DZ,IT,0.522
CY,PL,2.214
BJ,CH,2.563
CI,DE,0.960
CU,PE,31.669
CN,GE,0.275
BD,KE,6.382
IE,SG,0.712
ES,PK,0.134
AR,KE,1.696
BE,DZ,1.911
OM,SA,8.765
CY,HU,7.159
CL,CU,6.610
BE,RW,5.644
BE,NG,0.397
KZ,PK,18.752
CA,NP,0.604
CA,RW,1.771
CG,KE,37.098
CA,KW,0.860
EG,RU,0.248
EG,LB,5.876
PH,VN,24.932
PK,RU,0.251
ID,ZA,2.278
BF,NL,1.052
BR,RS,0.501
FR,MC,8.713
GR,LU,2.832
GH,VN,14.282
AZ,US,0.437
BJ,NL,1.878
MK,US,0.304
DE,SN,0.392
ME,RS,260.222
CR,MX,9.588
BD,FR,0.226
AU,GM,1.809
NG,SA,1.066
CH,VE,0.962
CY,NL,0.928
LU,PT,1.293
BG,CN,0.142
DE,MG,1.077
DK,LK,1.717
BR,GH,0.640
IT,MT,2.165
CO,IL,0.929
CU,VE,38.918
ZM,ZW,109.570
TW,ZA,0.226
HR,SK,9.836
CO,DK,0.828
IR,SI,0.407
CH,QA,0.789
BG,LT,15.501
IN,ZM,0.699
DO,UK,2.983
CN,MN,2.037
CA,ZM,0.762
IL,MY,0.212
CY,SE,1.509
IE,UG,2.118
CO,ZA,1.504
JP,LB,0.404
CR,JP,1.009
FI,MY,0.281
BR,ID,0.579
GH,SN,35.335
CO,FI,1.230
IE,SK,3.107
CO,KR,0.339
ET,UG,8.350
AR,SA,0.647
AR,TH,0.845
AR,EC,12.302
HU,SA,0.611
AR,BO,23.779
MX,NG,0.979
DE,SD,0.423
ID,IT,0.268
NZ,TR,0.329
ES,PR,2.595
DE,MK,0.773
DK,PE,1.428
DE,KW,0.424
EE,IL,1.300
NP,VN,21.266
BE,ID,0.983
AR,IE,0.642
AL,IT,2.386
IS,PL,1.418
EG,TH,1.034
CY,UA,9.654
UA,ZA,0.681
GR,UA,0.546
JP,UG,0.198
IS,RO,7.582
HK,MY,0.849
SE,UY,1.469
DE,LK,0.237
BF,TZ,25.194
NI,SE,10.043
AM,CN,0.266
ES,ID,0.441
BR,PH,1.069
JP,ZM,0.658
AT,MY,0.188
SD,SE,1.757
GR,IS,2.454
BR,VN,0.465
AU,ZW,1.325
EE,HR,9.105
CA,ZW,0.970
NG,RS,4.326
CH,LV,2.039
LY,MY,12.552
AU,GE,0.522
MW,SE,1.227
CG,UG,47.001
BE,GE,1.217
CG,ZA,9.797
AT,TN,0.989
HR,RO,3.163
BG,SI,4.634
CM,IN,0.338
IT,UY,0.547
US,YE,0.456
SA,SG,0.601
JP,NG,0.098
GH,IT,0.283
HK,NO,0.567
BO,UK,1.004
CO,CU,15.377
AZ,RU,5.295
BY,FR,0.552
MX,SI,1.244
CA,PA,2.006
FR,TG,3.903
AU,CR,1.395
EG,HU,0.822
CU,PT,1.262
AE,JP,0.514
BE,MW,1.751
IE,LT,4.100
IN,RS,0.223
EG,MX,0.694
IN,SK,0.281
BG,RS,7.788
DK,EG,0.302
BD,BE,0.793
CH,SD,1.407
BY,UA,9.929
CO,TH,2.472
ET,IL,0.982
BR,EE,0.508
AT,CY,2.269
GM,NG,19.495
CH,MA,0.388
CZ,TH,0.682
TW,VN,1.116
BO,EC,373.114
CN,KH,0.799
GR,PK,0.424
CH,GM,2.156
AM,TW,1.814
KR,UZ,1.468
DE,MD,2.697
NE,UK,1.427
GA,ZA,11.372
CU,IN,0.426
AE,OM,72.386
MW,NO,2.640
AR,SI,1.421
FR,SY,1.413
BJ,CA,1.141
CR,IT,0.846
BG,NO,0.988
AU,LB,0.532
GR,LV,5.631
RO,UA,1.535
IR,NO,0.079
IN,KW,0.657
NA,UK,1.463
CA,GE,0.364
CO,PA,60.216
AE,IN,0.497
IS,SG,4.297
BH,US,0.464
BJ,CM,65.383
LT,SI,9.510
LV,PT,2.683
HU,SG,0.650
DE,NA,1.729
CZ,PK,0.713
RU,VN,0.631
AR,SG,0.659
LU,SI,9.796
AR,CR,9.999
BO,ES,3.005
DE,OM,0.440
DO,PE,323.892
BE,MA,0.660
ML,SE,2.709
CA,CR,0.973
AM,TR,1.803
BE,GA,5.354
IR,TW,0.071
CZ,SG,0.556
ID,TW,1.262
GH,TH,3.586
AO,US,0.845
CM,GH,16.871
GH,ML,58.285
GW,UK,2.357
BA,SI,18.655
ET,GH,10.736
FI,UG,1.047
BD,GH,11.385
CO,PL,0.576
GH,GM,55.255
CM,SE,0.745
CU,JP,0.398
GQ,US,2.164
AT,HK,0.392
BG,SK,8.861
GR,MY,0.228
HR,MX,1.462
FR,GN,6.179
KR,RO,0.149
GD,US,3.011
BA,DE,0.445
IR,RS,0.564
GE,IN,0.317
BG,HR,5.449
EE,RS,10.167
JP,VE,0.383
EG,KE,1.643
CY,CZ,5.098
DK,ZM,2.347
KR,SI,0.200
EE,NZ,2.779
BF,GM,113.981
BN,MY,31.825
BE,BY,1.918
SL,UK,2.427
GT,MX,24.135
CN,SK,0.175
DO,MX,46.443
KE,PT,0.338
BR,TN,0.417
BG,UA,2.776
AM,CZ,3.319
AT,GE,1.333
MA,TN,7.835
BF,NG,10.282
SD,UG,22.071
SE,ZM,1.405
EC,IT,0.899
IE,LU,3.821
BA,US,0.160
MA,NL,0.256
CH,CR,1.639
FR,MZ,0.810
IE,IR,0.131
HR,IL,0.676
MR,SN,1158.575
CA,OM,0.737
ES,PH,0.696
HK,PT,0.249
GA,GH,76.417
BO,DE,1.017
DE,KZ,0.593
DZ,MA,15.201
NO,PE,1.580
CY,EE,24.397
MZ,NL,1.339
BE,PH,1.551
PK,TW,0.333
GR,HK,0.523
BD,NO,1.076
QA,TN,13.133
KW,QA,38.573
RW,ZM,143.590
GT,UK,1.213
AM,IL,1.441
AT,LI,45.073
IE,TH,0.622
PH,ZA,3.294
EG,SD,8.102
GH,MY,2.010
DE,ZM,0.321
BR,ET,0.362
SY,UK,0.697
AM,DK,1.285
MW,ZW,67.742
NO,TH,0.339
HR,UA,2.412
PK,RO,1.180
IT,MW,0.410
BE,LV,2.973
AT,LV,3.601
LT,TR,1.789
CY,TR,2.493
CN,IS,0.233
AU,BF,0.786
DE,MT,1.046
LT,RS,14.384
IN,TN,0.201
EG,TW,0.329
FR,LA,3.157
NO,NP,2.284
IL,LT,1.588
DK,ID,0.941
KZ,UK,0.502
AM,PT,0.892
RO,TW,0.438
AE,CH,0.914
AT,TZ,0.763
PE,PT,0.811
OM,PK,9.386
PY,US,1.239
GE,JP,0.279
IR,TH,0.162
KE,SG,1.222
PL,SA,0.146
HK,SA,0.812
AU,ML,1.410
ET,PK,2.423
AE,ES,0.659
IN,MZ,0.845
FI,PK,0.368
BF,UG,17.635
CO,RU,0.440
CN,CR,0.521
CN,LT,0.226
SA,SY,12.922
IT,MZ,0.802
BR,BY,0.968
IE,MW,4.117
BE,ML,3.288
CZ,MY,0.343
DE,ML,0.555
JP,KZ,0.940
AU,ZM,0.770
LU,ZA,2.500
MA,TR,0.829
BJ,SN,96.158
GW,SE,10.347
CR,PA,257.639
SD,ZA,4.116
EG,ID,2.999
CY,DK,1.864
KE,PE,6.636
IE,PK,0.615
ES,QA,0.445
JP,LU,0.333
EC,NL,1.269
LY,SA,12.581
ES,GA,2.041
TH,TR,0.299
CG,DE,0.630
EC,JP,0.834
BR,CM,0.537
AU,CI,1.728
BD,BR,0.362
FJ,NZ,48.005
BY,FI,2.982
NL,ZW,1.028
AM,RO,5.460
LV,NO,4.445
AE,AT,1.779
CN,VE,0.239
BG,KR,0.254
AR,PY,65.781
EG,ZA,0.444
CA,PR,1.403
IN,KZ,0.955
AU,UY,0.695
SZ,UK,2.695
CM,ML,59.161
BR,IS,0.627
CN,SD,0.384
AT,VN,0.773
IN,MM,2.875
IS,PT,0.904
ET,JP,0.171
LS,US,2.065
UK,YE,0.866
HU,IR,0.135
CN,LB,0.209
AZ,DE,0.809
EG,LY,16.688
HK,PL,0.269
LT,UA,5.038
EE,IS,15.152
BE,CR,2.479
CO,PR,41.623
RS,SK,8.848
ET,TZ,6.412
MX,PR,11.321
CA,JO,0.540
AU,VU,17.142
UY,VE,34.864
BH,EG,24.129
NL,UY,0.657
CY,IE,4.354
CO,TR,0.728
IT,ML,0.845
AR,HN,73.704
GM,TZ,33.003
LB,ZA,2.107
CI,ZA,8.054
GM,IT,0.801
IL,SA,0.183
KR,NP,0.614
FR,MT,1.435
EE,MX,1.938
AU,VE,0.488
HK,NZ,0.886
AO,BR,6.597
AR,UG,1.637
JP,LT,0.305
BR,LB,0.559
AR,PK,0.643
BF,GA,140.119
NL,SR,14.247
CA,JM,1.646
IT,SN,0.423
CY,FI,2.605
CO,UY,15.088
BJ,CI,221.425
NO,SD,2.887
AR,MY,0.364
DO,VE,332.268
SA,SI,0.987
BR,SN,0.874
HR,NZ,1.487
ES,GM,1.316
CI,KE,26.687
DK,ZW,2.629
BD,SA,1.694
MG,SN,138.266
MY,NO,0.178
AR,PR,13.577
DE,GM,0.495
CH,NE,4.699
TG,US,0.694
FR,PA,1.268
BY,CA,0.507
IN,PA,1.401
LT,RO,5.663
CI,GH,60.140
ES,GH,0.354
GE,SE,0.649
MK,RS,39.599
EG,IE,0.571
AR,GT,24.375
CH,EC,1.528
CA,LT,0.317
BO,CO,49.704
LK,MY,2.165
AE,SE,0.908
AU,CY,0.603
DE,DZ,0.201
BY,ES,0.679
GE,TR,1.285
BF,MW,40.925
EG,TN,2.303
BB,UK,2.176
NL,ZM,0.682
IL,TH,0.234
GQ,UK,4.012
MY,PL,0.104
BA,UK,0.297
HR,LT,9.270
BE,BO,5.025
DE,MN,1.132
HN,MX,57.617
AM,GR,1.559
GA,KE,28.259
ML,ZA,6.163
AU,KW,0.735
IR,SG,0.123
PK,ZM,6.334
OM,QA,36.686
MM,UK,1.259
AF,PK,40.426
HR,KR,0.205
LY,SD,145.151
AE,ZA,2.753
AR,RO,0.793
BG,NZ,1.521
CM,GA,72.243
ID,NZ,2.178
AM,MX,2.462
AM,AU,0.392
IL,IS,1.288
AT,GA,4.863
ID,PT,0.544
NZ,SA,0.425
BG,MX,1.259
LB,TR,1.375
CM,DK,0.983
SV,US,1.333
CA,LK,0.300
KR,TZ,0.251
BW,MX,11.980
CM,NL,0.338
CA,ML,0.850
BR,PY,9.467
IN,LB,0.250
CH,LI,17.015
GT,KE,46.519
GL,SE,9.483
HR,IR,0.322
CL,UA,0.759
IQ,IR,1.478
AE,DZ,30.954
BE,TN,0.544
CZ,EG,0.493
PT,TZ,0.398
KE,MX,0.825
IN,SN,0.390
LR,US,1.646
SN,TZ,15.255
DO,IN,3.659
CH,UY,0.784
AE,QA,22.695
IR,RO,0.184
LT,TW,1.399
LT,SK,14.069
FI,PH,2.096
AM,BE,0.854
BY,CH,0.831
GT,PK,26.442
IN,MW,0.336
CO,MY,0.975
EG,JO,5.940
ES,MW,0.524
CN,TZ,0.097
CN,KZ,0.541
CG,NL,1.324
GM,SE,1.798
KH,PH,78.253
LK,NL,0.385
AT,ET,0.604
AM,IE,2.480
PK,SG,0.572
EE,RO,3.318
HK,HU,0.760
BR,LU,0.547
LB,NZ,2.821
BE,ZW,1.966
BF,NO,2.256
DZ,TN,13.931
EG,NZ,0.559
GM,MW,68.801
CU,FI,1.801
CV,PT,21.989
CO,KE,3.033
ID,KH,40.584
BR,QA,0.461
AU,EC,1.040
BF,TH,5.451
TW,UA,0.303
CR,NL,0.934
SE,ZW,1.377
GE,PT,0.659
NP,ZA,2.384
CY,RU,1.103
NG,NZ,0.752
RO,ZA,0.487
SE,SN,0.950
VE,ZA,2.115
CA,GL,4.250
GT,IN,1.902
CI,SN,103.290
BD,PH,14.645
HU,TH,0.531
GE,IL,1.064
EE,TR,0.932
NP,PK,4.489
CA,LV,0.726
AT,ID,0.758
BY,DK,1.654
DE,RW,0.555
EC,VE,55.458
BG,LV,23.185
NE,SN,217.769
IN,IS,0.264
DK,PH,1.411
GE,UA,3.799
ES,PA,1.911
BA,IT,0.493
BB,US,0.803
AE,LB,22.382
BG,TW,0.603
CU,DO,280.967
CM,UG,7.417
ES,KZ,1.139
HN,PE,330.833
MU,US,0.911
IT,KZ,0.694
LB,QA,15.125
CA,SY,1.107
SK,UA,2.832
MK,UK,0.386
PT,VE,0.751
AU,PA,1.697
SZ,ZA,30.661
AM,IN,0.228
IT,LK,0.227
BO,MX,11.716
DE,PR,0.577
EC,NI,471.867
JP,SD,0.420
NZ,TZ,1.479
NL,TN,0.218
BE,VE,0.925
FR,OM,0.441
IE,IS,2.471
CZ,SA,0.325
NL,SN,0.542
CG,CM,51.373
IR,UA,0.152
BR,LT,0.493
CZ,MA,1.229
BJ,TZ,26.571
CO,NO,0.633
CN,NP,0.206
LB,RU,0.678
IL,SK,0.794
CA,NA,2.091
NZ,QA,2.466
FR,KZ,0.661
DZ,SA,2.900
NG,PK,0.860
MD,RU,8.742
BG,EE,5.867
FR,JO,0.364
LK,PK,3.317
LA,VN,105.613
AU,CU,0.413
EG,YE,18.321
JO,MY,3.161
CZ,LV,6.150
FR,HT,2.416
GM,TH,9.118
MN,UK,0.830
DE,IQ,0.288
BR,PR,1.928
AU,LV,0.921
CM,TZ,8.187
NA,NL,2.869
EG,MA,1.694
JP,QA,0.215
IN,KH,0.755
AL,US,0.314
KR,MN,2.784
FJ,UK,1.613
NO,VN,0.772
IN,UY,0.357
ML,NG,13.366
IS,RU,0.716
JP,TN,0.143
BO,NL,1.731
CL,CR,6.918
UA,UZ,8.619
HU,IS,2.501
CN,ET,0.085
KE,KH,17.050
AT,BF,1.479
NE,NG,31.874
BG,CY,11.272
BB,CA,3.828
HK,MX,0.550
BO,CL,14.956
HU,LV,6.311
ES,GQ,10.085
TN,TR,0.690
AU,CG,1.130
AT,MN,6.503
PL,VN,0.443
AR,ZM,4.087
CG,GH,41.801
HK,RU,0.172
BR,HN,9.660
KE,NA,43.281
GL,US,0.705
SN,TH,4.446
GM,SN,68.499
EG,OM,6.177
IR,NG,0.159
ID,TR,0.793
BR,GT,3.195
ML,NL,1.000
HK,IE,0.594
CH,LA,4.752
CH,GA,1.888
BW,NO,5.638
AU,SD,0.587
AM,UA,3.428
BN,UK,1.268
RS,UA,2.079
BO,SE,2.815
BR,LV,1.118
CL,HN,63.742
DK,ML,2.716
JP,UZ,0.521
CN,DO,2.158
CA,DZ,0.300
BA,SE,1.167
GN,UK,2.140
MW,NA,164.819
LK,ZA,1.626
DK,MZ,2.426
MG,ZA,7.076
CY,LT,24.287
CH,RW,1.659
AZ,IR,2.889
KH,KR,1.159
BD,UG,4.620
MZ,UG,21.130
GT,ZM,192.207
AT,BY,1.467
EG,NG,0.784
HK,ZA,0.435
LI,US,1.508
BJ,GH,34.581
BF,IN,0.351
PE,UG,6.783
IT,ZM,0.346
AO,UK,1.253
AU,TN,0.200
BY,CN,0.240
CO,GR,0.630
CG,NG,14.010
AU,MM,3.025
CI,CM,51.170
CN,IQ,0.312
FI,GH,1.029
AR,BD,1.463
MY,RU,0.071
ET,SD,15.662
ID,PK,2.145
BR,GE,0.392
EE,IR,0.434
DK,SN,1.360
AZ,MY,8.141
GN,US,0.911
BW,TZ,36.730
AZ,UK,0.471
CO,IR,0.272
CL,RS,1.514
EC,IN,0.548
PR,VE,66.126
BY,SE,0.778
CR,SE,1.194
AU,PR,1.241
MX,SG,0.302
IE,NG,0.528
AU,JO,0.507
NP,NZ,2.865
BE,PA,3.348
HK,SI,1.327
EG,RS,1.607
PT,UY,0.851
ET,NG,2.083
CO,TW,0.503
AR,PH,3.058
CU,DK,0.953
IT,SD,0.343
BJ,DE,0.337
LT,LU,16.453
BD,ES,0.186
GR,TN,0.729
PH,SE,0.664
EG,IL,0.177
BG,CO,3.395
AM,SE,0.470
BG,ZA,0.729
DE,PG,0.522
KR,QA,0.307
AE,BE,0.950
HK,PH,5.192
PE,VN,7.358
IT,MG,0.834
BZ,US,3.645
RS,TW,0.605
LK,TH,2.684
FR,ZM,0.302
MY,NP,1.995
MX,RS,1.095
JP,SY,0.845
BY,NO,1.758
CL,TR,0.188
TH,UA,0.613
BY,JP,0.314
EG,ET,1.547
IR,LB,0.548
MU,UK,1.811
HR,PK,1.259
MY,RO,0.408
PE,PR,51.567
AM,PK,2.684
BD,TZ,4.675
CN,TN,0.085
IE,MT,11.009
NZ,VN,1.341
BY,GR,1.893
GE,GR,1.086
ET,MW,10.503
BR,KH,1.252
NZ,PH,3.079
CN,MW,0.182
GE,IR,0.512
RO,SA,0.505
CO,NI,70.918
IN,UZ,0.485
AR,PA,10.803
CI,TG,598.044
MT,NL,1.632
HR,TW,0.468
UK,UZ,0.241
MW,TH,3.509
CN,UZ,0.334
AM,FI,1.166
JP,UY,0.297
NO,QA,1.017
BD,DK,0.486
KE,PG,21.793
BR,LK,0.396
BI,US,1.002
AR,EG,0.436
MT,US,0.230
CZ,GE,1.825
IN,NE,1.581
BR,MW,0.517
AT,BD,0.503
NG,VN,2.194
BG,GE,6.389
MX,PA,9.008
BR,GM,1.137
BY,NL,0.478
LU,RS,9.054
SE,VE,0.548
MX,SK,1.377
CH,TG,4.615
NG,SN,5.664
CY,IN,0.297
BO,CH,2.166
ID,PG,44.463
AZ,CH,1.938
CU,MY,1.843
CL,TH,0.487
MY,QA,1.453
IT,PA,0.915
PK,UA,0.641
AE,DK,1.112
AR,HR,1.015
CA,GM,0.633
BY,HR,10.208
MX,PH,2.550
FI,PE,1.060
IL,LV,2.384
FI,KE,0.419
CY,RS,12.251
CH,TD,10.769
GA,SN,83.330
ET,VN,4.296
GM,NZ,5.959
GA,PT,2.174
GH,MZ,27.405
GR,LB,1.057
GM,VN,22.111
BO,VE,76.570
CY,IR,0.752
CO,LB,6.134
IE,KE,0.636
CL,LB,2.307
CY,JP,0.265
PG,TH,10.767
BH,IE,11.092
NI,UK,0.930
BR,DO,5.123
KE,LU,4.873
CO,SG,1.010
GM,GW,512.087
EG,RO,0.647
BR,SK,0.262
NI,PE,116.179
BE,UY,0.953
BE,MT,3.446
CZ,LU,1.983
AU,MN,1.919
NZ,SI,0.715
JP,LV,0.468
CA,MN,1.405
IN,LT,0.193
CO,RO,1.621
BD,MW,10.126
SG,TR,0.151
EG,PE,2.190
MT,PT,2.798
SK,TR,0.688
CN,CY,0.185
AM,HR,5.608
IL,NG,0.217
CF,US,0.701
EG,GH,1.949
BJ,DK,2.126
MW,MZ,46.311
IE,LB,1.801
CY,NO,1.483
AE,MX,2.325
NG,ZM,5.612
AE,HU,2.751
PK,TZ,1.400
CI,ML,147.319
SI,ZA,0.468
CL,IS,2.436
GA,TH,10.238
EC,ZA,3.681
PY,UK,1.712
IL,LB,0.814
GE,HR,5.326
NZ,VE,2.311
LK,SG,2.094
NG,TR,0.245
EE,EG,1.778
BY,CZ,2.891
MZ,NO,2.735
ET,SN,11.091
BR,OM,0.735
MW,VN,10.056
KE,PH,6.063
BG,EG,1.232
AU,NE,2.143
FR,SD,0.297
CN,SY,0.537
RW,TZ,26.451
BF,TG,233.532
LV,SI,11.685
BF,DK,1.191
IE,LV,4.797
FI,LY,4.590
NZ,RS,1.202
MM,MY,13.302
NZ,UA,0.474
EE,UA,2.108
CU,GR,1.262
SK,TW,0.692
SI,UA,1.031
CM,CN,0.111
MM,VN,70.886
FI,MW,1.449
JP,MW,0.236
SI,VE,5.032
DK,NG,0.194
DK,NP,0.938
BJ,TG,416.819
CM,PT,0.455
GL,NO,15.308
KR,PE,0.265
LS,ZA,42.454
KH,LA,437.113
AE,PT,0.702
HK,ID,2.448
AT,SN,1.173
PE,PK,2.219
BW,ZW,133.956
LV,RO,8.697
GE,KR,0.277
LB,PT,0.504
LU,SK,10.351
AE,MY,1.955
EG,NO,0.194
PG,TZ,31.667
DK,GM,2.145
